family,param,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct
FIXED,2,10.0,2026-04,4,0.0,-40000.0,0.0,25.0,0.0
FIXED,2,10.0,2026-05,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,2,10.0,2026-06,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,2,10.5,2026-04,4,0.0,-40000.0,0.0,25.0,0.0
FIXED,2,10.5,2026-05,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,2,10.5,2026-06,4,0.0,-40000.0,0.0,25.0,0.0
FIXED,2,11.0,2026-04,2,0.0,-20000.0,0.0,0.0,0.0
FIXED,2,11.0,2026-05,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,2,11.0,2026-06,4,0.0,-40000.0,0.0,25.0,0.0
FIXED,2,11.5,2026-04,2,0.0,-20000.0,0.0,0.0,0.0
FIXED,2,11.5,2026-05,1,0.0,-10000.0,0.0,100.0,0.0
FIXED,2,11.5,2026-06,3,0.0,-30000.0,0.0,33.33333333333333,0.0
FIXED,2,12.0,2026-04,2,0.0,-20000.0,0.0,0.0,0.0
FIXED,2,12.0,2026-05,1,0.0,-10000.0,0.0,100.0,0.0
FIXED,2,12.0,2026-06,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,2,12.5,2026-04,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,2,12.5,2026-05,0,0.0,0.0,,,
FIXED,2,12.5,2026-06,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,2,13.0,2026-04,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,2,13.0,2026-05,0,0.0,0.0,,,
FIXED,2,13.0,2026-06,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,2,13.5,2026-04,0,0.0,0.0,,,
FIXED,2,13.5,2026-05,0,0.0,0.0,,,
FIXED,2,13.5,2026-06,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,2,14.0,2026-04,0,0.0,0.0,,,
FIXED,2,14.0,2026-05,0,0.0,0.0,,,
FIXED,2,14.0,2026-06,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,2,14.5,2026-04,0,0.0,0.0,,,
